Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,2374.677922,2530.238347,2575.604285,2692.076377,2818.558369,2950.813436,3072.635737,3215.091017,3347.609944,3344.228544,3437.618878,3504.740055,3580.817612,3677.638737,3863.454151,4086.373895,4335.383102,4575.663758,4868.444143,4986.462454,5167.113918,5460.255454,5921.649478,6624.805293,7056.828364,7133.874458,7499.778859,8423.696806,8866.378834,9110.55582,
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,6701.209044,6909.921746,6915.312702,7287.075403,7712.671674,8090.89,8288.17895,8582.067741,8575.873508,8611.90023,9060.7864,9260.765959,9568.063848,9733.770816,10445.34451,10988.95868,11642.44395,12549.92798,13312.76342,13269.11857,14299.5517,15040.05818,15046.28988,15588.72621,15718.56565,14744.11291,14256.16325,14519.84913,14951.811,15299.98726,
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,9579.67602,9482.191997,9112.075232,9366.740085,9721.580356,10084.89136,10634.17167,11282.23115,11784.11656,11944.81236,12704.9357,12630.66493,12887.73195,13368.4474,13873.84569,14815.95644,16098.0945,16820.41364,17190.94622,16374.68983,16127.81138,16304.38242,15310.006,15334.72037,15175.49564,15510.82429,15952.07031,15788.82052,16056.68927,16330.88768,
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,55913.65093,57945.70001,60345.08765,60249.59039,61767.23408,64188.11875,65587.41174,64190.98618,63097.46172,64533.30594,66439.33614,68350.53341,70716.75937,72755.733,73808.52673,75213.75512,79772.6751,81013.4222,80036.11316,78297.70719,80277.54569,83935.01251,88247.72774,83787.06062,81373.01807,62541.68036,56296.01977,60995.68111,61859.97791,64847.65174,
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,1507.333638,1540.839937,1648.819952,1727.618376,1854.312995,2016.796819,2140.611054,2251.935693,2357.821975,2522.474162,2696.346456,2923.130991,3229.545528,3480.089714,3723.426756,4056.183814,4412.469786,5302.710294,5608.477759,5972.923402,6693.506148,7295.842805,7912.133367,7989.655431,8666.419567,9500.768189,10457.2018,11142.39995,11624.92103,12355.79357,
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,5682.072122,6124.060787,6270.318822,6375.622304,6583.553826,7022.207034,7388.842339,7953.38103,7897.105697,8597.674883,8784.188731,8830.921156,9347.824104,9790.963335,10144.54086,10733.21952,11742.51983,12780.63187,13552.61215,12366.53503,13352.29465,14252.71305,13590.51553,14707.70192,16300.86853,15547.16432,17260.30471,17253.28063,18063.76393,18552.75326,
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,635.4388309,637.0081661,593.0389088,591.7454744,616.0244465,655.8897651,624.5966732,652.435072,674.2806715,692.204671,674.4397401,704.2221645,725.6150247,684.9566262,730.748454,745.5728632,789.2107919,831.6077918,849.941448,916.1872831,958.9204483,1012.658089,1102.026532,738.4753903,720.3234642,787.0130816,851.0719211,912.8020523,955.840117,986.6808967,
Canada,CAN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,20150.28502,20145.421,20550.04786,21363.07086,22554.70702,23402.88135,23963.39222,25166.87008,26219.95655,27745.80655,29265.25132,30107.70625,30853.20132,32219.45502,33795.6563,36211.0846,37995.16236,39452.00269,40275.9899,38795.47969,40019.92625,41569.44962,42290.96541,44298.57873,45753.75055,44670.08054,46472.34025,48490.3795,50939.39259,51668.91455,
Central Europe and the Baltics,CEB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,7096.928152,6652.739137,6685.190112,6956.417924,7393.549819,7974.530626,8378.731763,8700.29815,9093.746277,9393.398579,10015.50795,10798.82926,11625.2762,12322.17767,13463.25668,14302.13304,15889.63695,17726.50856,19660.99341,19701.27119,20801.99158,22181.39579,22962.77757,23954.04319,24969.92529,26121.96026,27858.05746,29975.41686,32915.21887,35130.85079,
Switzerland,CHE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,27570.63283,27891.19366,28201.68449,28572.09127,29318.10659,29876.485,30505.98739,31804.75372,32917.79955,33814.07929,35765.17088,36778.54106,37718.3041,37716.28964,39173.23475,40572.26321,45092.86419,49734.03223,52584.73495,51796.53825,53112.42458,56183.83257,57849.58395,60108.51635,61902.16241,63921.80251,65726.81717,66910.5737,70877.78683,72376.02395,
Channel Islands,CHI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,4511.170059,4952.538507,5622.777333,6119.380142,6568.780748,7351.828808,8011.571125,8637.33071,8995.765023,8977.117434,9553.566623,9972.651027,10333.06359,10841.32385,11812.63486,12746.58339,15753.96299,16941.83598,16501.80692,16159.60523,18161.80392,20342.57092,21507.7074,22439.27836,22786.6556,22698.54945,23437.59767,24548.1877,25512.76843,27002.26175,
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,982.5008703,1094.771431,1263.416318,1456.07947,1662.158759,1862.554122,2063.116926,2269.201401,2451.152804,2653.973626,2920.560791,3210.009396,3534.84913,3937.312875,4425.874191,5053.945798,5836.573437,6810.6039,7574.224455,8307.849519,9253.765188,10299.87069,11197.59694,11923.75262,12549.77183,12978.76891,13572.61999,14344.42124,15614.30528,16804.42578,
Cote d'Ivoire,CIV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,2053.966947,2049.113072,2017.253282,1989.756045,1979.553236,2094.279263,2224.558946,2275.401315,2343.4162,2348.930354,2291.441153,2289.125956,2236.329086,2199.900958,2239.75497,2300.122232,2354.291344,2406.778944,2460.247093,2501.728522,2522.36493,2404.04228,2626.068383,2828.401341,3127.479168,4652.890621,4726.983121,4830.751701,5156.093849,5443.224839,
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,1855.409069,1790.706364,1723.39807,1578.255035,1600.544875,1644.929594,1701.699581,1774.15198,1826.595181,1882.777095,1941.697129,2017.011365,2079.760209,2156.691396,2302.116144,2357.048117,2444.753943,2562.26354,2629.886965,2634.677417,2681.886817,2773.896667,2855.446156,3002.610781,3185.355149,3260.524969,3405.057589,3554.525156,3691.334293,3803.45724,
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,882.773089,805.6037097,709.2856611,604.3059913,571.962353,569.3272988,557.9703626,522.6319543,508.073576,481.9072515,447.0821984,435.0763341,441.8203086,460.7701526,489.4199936,518.8402393,545.1514742,575.7491158,603.2879075,604.8441541,633.9131237,668.940861,669.567462,753.4851364,849.7607955,905.4504568,963.6693089,1059.810775,1112.346092,1146.535867,
"Congo, Rep.",COG,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,3474.997391,3578.994158,3654.120433,3602.876483,3381.931587,3490.740302,3603.008281,3538.748588,3606.219566,3462.02949,3699.239052,3813.744153,3938.419144,3929.592117,4052.513202,4363.250914,4695.690797,4350.756495,4555.986226,4959.407012,5349.838323,5428.239065,6335.784347,6068.995734,5888.282974,4664.322324,3883.577954,4274.296414,4002.113076,3835.662582,
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,5012.221341,5182.769951,5408.870683,5724.016711,6070.674652,6401.813731,6535.529513,6758.270569,6758.525749,6460.906827,6690.373751,6843.739036,7018.082019,7319.543212,7806.050509,8324.754689,9035.56564,9781.970408,10179.24484,10258.97084,10731.64591,11604.10228,12018.65128,12727.76493,13307.4245,13265.79726,13859.08627,14219.53282,15055.6853,16012.44574,
Comoros,COM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,1587.427922,1507.590492,1625.269655,1664.865215,1565.383394,1610.215915,1574.686887,1622.157267,1618.15264,1630.51245,1801.767456,1838.378606,1865.27044,1894.206453,1936.013281,2004.634313,2069.886352,2091.755024,2165.068837,2197.805399,2252.890772,2337.057388,2511.485162,2636.49431,2716.827525,2709.600878,2863.870042,3032.254682,3141.546075,3194.900748,
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,1063.563307,1088.305238,1201.785602,1299.777096,1538.666047,1748.308056,1935.97062,2141.08036,2387.448374,2642.86522,3032.126368,3113.103817,3273.979655,3420.162625,3813.705901,4146.084861,4552.239123,5316.933327,5711.323428,5613.700418,5692.433557,5966.871922,5818.972162,5792.829274,5748.173874,5994.372832,6322.841811,6643.20461,7031.358188,7489.211503,
Costa Rica,CRI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,5057.537866,5209.015582,5668.227573,6055.72455,6300.890201,6534.353733,6575.337981,6896.54872,7293.122218,7528.773961,7836.927285,8141.051763,8402.798411,8787.790371,9279.559826,9799.043961,10677.01305,11699.90396,12318.46342,12135.24979,12725.15233,13387.57215,14091.52889,14651.15236,15622.93048,16586.35303,18608.58341,19749.16744,20374.59029,21737.64991,
Caribbean small states,CSS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,6147.280788,6441.45223,6737.860549,7059.942633,7350.777212,7656.065209,8006.271443,8347.231629,8614.692517,9033.790123,9507.424112,9862.850596,10331.89433,11120.77453,11828.56584,12550.74635,13782.06926,14556.31965,14971.91248,14471.19251,14764.68662,15147.35627,15109.90094,15355.11857,15465.22566,15130.98169,15045.65614,15612.30244,16165.56583,16550.85909,
Cuba,CUB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,22701.96044,23897.75197,24342.34454,24358.34994,24637.58086,24932.89034,25445.7018,26251.05178,27005.29252,26890.91975,26884.27092,27224.40097,26175.4939,25921.15841,25379.2977,25090.20812,24808.40367,25475.48966,25590.71062,25562.53006,
Cayman Islands,CYM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,71391.17704,73399.69046,72405.00025,65885.14043,63298.17818,64013.63679,62801.22759,62441.04989,63067.41952,64230.41232,66634.22527,69572.49685,73292.28282,,
Cyprus,CYP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,13323.85439,13521.70912,14732.6467,14824.91913,15706.59805,17064.73832,17288.67269,17774.64035,18758.48335,19662.69258,21296.57684,22871.58828,23556.24012,24253.16334,25921.35166,27763.27611,29979.159,32847.4741,34830.16612,33917.4867,33445.90649,33313.57915,31834.67636,30375.10632,30042.82711,31722.21621,35388.83253,37766.90166,39737.32519,41254.40459,
Czech Republic,CZE,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,12772.94664,11699.20644,11893.04341,12169.70316,12786.56648,13825.94573,14653.62038,14819.49464,14977.116,15396.31178,16242.54319,17628.67715,18252.57277,19517.93567,20914.73323,22095.38785,23891.70474,26250.47641,27974.48713,27781.94467,27903.25872,29001.36804,29254.73127,30818.10816,32502.47535,33899.28657,36097.70526,38948.86299,42425.16695,44295.91719,
Germany,DEU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,19415.9836,20944.79846,21668.67876,21821.47242,22741.49691,23507.69054,24019.34354,24564.12907,25344.04412,26291.21108,27210.87226,28380.81155,29178.63747,29877.32637,31307.86159,31794.09601,34114.62124,36243.46043,37802.38743,36842.9162,38982.4263,42541.53109,43359.61483,44993.89275,47011.55109,47609.781,50579.68393,53121.98768,56689.09573,57530.30303,
Djibouti,DJI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,4103.955142,4289.086748,4574.474876,4692.575942,4885.220563,5341.103794,5779.675765,
Dominica,DMA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,4299.051516,4507.158227,4692.117404,4887.257038,4978.415091,5232.770513,5506.579629,5751.26781,6071.087941,6211.568504,6516.257455,6653.953701,6551.441467,7070.44996,7452.326953,7712.208309,8300.59253,9055.27703,9884.291474,9839.806461,10017.62053,10198.54896,9945.288446,10146.34798,10910.29745,11139.94898,11949.53406,11304.35971,11818.22608,12444.44114,
Denmark,DNK,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,18199.66428,19027.90173,19776.88817,20180.27697,21637.092,22641.34197,23682.99479,24919.71778,25813.01309,26653.8239,28670.59,29450.04298,30640.34562,30788.62457,32911.40153,34150.15946,37284.45475,38958.85953,41278.32683,40361.09639,43035.89206,44403.38484,44803.96824,46726.85414,47901.44736,49045.33919,51976.00571,55533.44735,59276.21251,62089.91446,
Dominican Republic,DOM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,3668.379743,3756.148508,4193.273523,4524.401903,4656.492328,4937.329829,5238.828424,5708.188064,6062.522084,6414.743194,6760.125687,6973.541183,7295.056532,7226.721282,7506.733761,8356.012995,9274.892519,10098.69356,10491.61958,10539.39782,11410.34875,11869.13398,11900.491,12482.1646,13475.01647,14740.8197,16109.85592,16735.33259,18143.22448,19227.7156,
Algeria,DZA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,6916.49651,6892.900211,7010.169539,6871.197725,6812.220522,7082.784757,7377.699492,7465.899323,7816.770578,8068.296135,8446.587979,8775.117026,9293.836798,10019.35783,10591.03422,11405.64036,11776.04135,12311.03903,12643.14916,12722.37818,13095.44682,13500.04166,13303.33179,13056.80362,13003.26712,12015.6314,11624.33899,11737.40935,11925.79856,12019.92836,
East Asia & Pacific (excluding high income),EAP,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,1446.585681,1586.21857,1763.579164,1966.775712,2185.889127,2414.418663,2641.877586,2833.526766,2854.776337,3032.187844,3294.506982,3551.344821,3849.185945,4218.413373,4670.950545,5227.603407,5900.06287,6720.157478,7359.312729,7907.663216,8703.99859,9550.30488,10355.40614,10953.64499,11464.09613,11794.00556,12313.00232,12986.32223,14060.24819,15054.77888,
Early-demographic dividend,EAR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,2918.279373,3095.034553,3232.356933,3323.423522,3428.664822,3554.003703,3749.102061,3902.835449,3863.036497,3939.663427,4141.570144,4235.573404,4312.585891,4555.114599,4910.8234,5285.720006,5719.218945,6140.403239,6429.017221,6529.758004,6937.544249,7342.464891,7713.220052,7953.661231,8175.385026,8273.791272,8563.816485,8987.653699,9439.45624,9737.821141,
East Asia & Pacific,EAS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,3213.72223,3460.101182,3683.882709,3924.405418,4207.753598,4523.787873,4843.256235,5097.422473,5095.117042,5333.109459,5734.267536,6033.385142,6406.662716,6824.227202,7406.088043,8059.642852,8845.892495,9781.836337,10408.96168,10807.29596,11732.57983,12620.73152,13466.31651,14173.6369,14695.67369,15113.13734,15606.79289,16348.29873,17531.67183,18511.59708,
Europe & Central Asia (excluding high income),ECA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,7046.274318,6882.251739,6339.603216,6105.335285,5505.237859,5509.652053,5584.656586,5842.654598,5343.836694,5525.282962,6197.266257,6549.430424,7010.751173,7751.155913,8659.792466,9750.681165,11647.22251,12948.92803,14808.88916,14294.37496,15299.06104,16879.23361,17886.49896,19279.95013,19681.58342,19218.38297,19615.14177,20849.70466,22601.2696,23073.07944,
Europe & Central Asia,ECS,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,11813.05769,12104.19953,12139.88176,12223.92823,12428.1981,12902.07833,13347.49698,13950.07496,14235.553,14786.24949,15927.22834,16731.28661,17534.01175,18189.76311,19314.9457,20357.55019,22520.75169,24133.21075,25792.16803,25086.40704,26140.6691,27678.66438,28436.04768,29734.04978,30477.28889,30894.97924,32326.98861,34084.0709,36669.69773,37811.00791,
Ecuador,ECU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,4829.933123,5087.439165,5192.581509,5299.176554,5518.683731,5636.989744,5715.879377,5940.068636,6077.540631,5758.073129,5838.902525,6094.348526,6332.185874,6513.299404,7117.171715,7598.946245,8037.883279,8294.641409,8845.554499,8818.67236,9090.308233,9857.521816,10311.4026,11153.6845,11713.1715,11060.28763,11034.26985,11617.90876,11843.39364,11878.71836,
